name,sell_price,total_ore_cost,smelting_time,crafting_time,time_missing
CopperBar,1450.0000476837158,1000.0,20.0,0.0,false
IronBar,3000.0,2000.0,30.0,0.0,false
LeadBar,6099.999904632568,4000.0,40.0,0.0,false
SiliconBar,12500.0,8000.0,60.0,0.0,false
AluminumBar,27600.000381469727,17000.0,80.0,0.0,false
SilverBar,60000.0,36000.0,120.0,0.0,false
GoldBar,120000.0,75000.0,180.0,0.0,false
BronzeBar,234000.0,82000.0,680.0,0.0,false
SteelBar,340000.0,120000.0,1980.0,0.0,false
PlatinumBar,780000.0,490000.0,960.0,0.0,false
TitaniumBar,1.6299999952316284e6,894000.0,2080.0,0.0,false
IridiumBar,3.109999895095825e6,1.840000023841858e6,4800.0,0.0,false
PalladiumBar,7.0e6,4.48e6,2880.0,0.0,false
OsmiumBar,1.45e7,9.588000190734863e6,5240.0,0.0,false
RhodiumBar,3.1e7,2.1180000047683716e7,10800.0,0.0,false
InertonAlloy,6.8e7,4.896e7,7200.0,0.0,false
QuadiumAlloy,1.52e8,1.1117600038146973e8,12160.0,0.0,false
ScrithAlloy,3.52e8,2.5736000009536743e8,23520.0,0.0,false
UruAlloy,8.32e8,6.0792e8,16560.0,0.0,false
VibraniumAlloy,2.0499999523162842e9,1.4723520007629395e9,26720.0,0.0,false
AetherAlloy,5.119999885559082e9,3.7147200478744507e9,49680.0,0.0,false
ViteriumAlloy,1.55e10,1.021584e10,36000.0,0.0,false
XyniumAlloy,4.8e10,4.93617600038147e10,136900.0,0.0,false
QuoliumAlloy,1.6e11,1.5357360023937225e11,252120.0,0.0,false
LuteriumAlloy,6.0e11,5.010792e11,184140.0,0.0,false
WraithAlloy,2.4000000953674316e12,1.8968088357818604e12,689060.0,0.0,false
AqualiteAlloy,1.75e13,7.217868287299156e12,1.26558e6,0.0,false
OpaliteAlloy,2.77e14,3.6484044178909305e13,3.45082e6,0.0,false
CopperWire,10000.0,5000.0,100.0,60.0,false
IronNails,20000.0,10000.0,150.0,120.0,false
Battery,70000.0,20000.0,400.0,360.0,false
Hammer,135000.0,40000.0,500.0,720.0,false
Glass,220000.0,80000.0,600.0,720.0,false
Circuit,620000.0,175000.0,1700.0,1800.0,false
Lens,1.100000023841858e6,260000.0,1200.0,3120.0,false
Laser,3.200000047683716e6,655000.0,2400.0,6720.0,false
BasicComputer,7.599999904632568e6,1.055e6,9100.0,13800.0,false
SolarPanel,1.25e7,1.675e6,14500.0,22200.0,false
LaserTorch,3.1e7,3.02e6,14200.0,36240.0,false
AdvancedBattery,3.5e7,3.0e6,51600.0,19800.0,false
ThermalScanner,7.15e7,4.16e6,12600.0,27840.0,false
AdvancedComputer,1.8e8,9.745e6,55900.0,81600.0,false
NavigationModule,1.0e9,1.02e7,41000.0,113820.0,false
PlasmaTorch,1.149999976158142e9,4.270000035762787e7,143000.0,196200.0,false
RadioTower,1.4500000476837158e9,8.4e7,188000.0,15600.0,false
Telescope,2.700000047683716e9,1.4945e7,79900.0,160800.0,false
SatelliteDish,3.4000000953674316e9,1.524e8,383400.0,18000.0,false
Motor,7.0e9,4.9e7,440000.0,163200.0,false
Accumulator,1.2e10,2.0076000381469727e8,259600.0,79800.0,false
NuclearCapsule,2.6e10,1.4860000059604645e8,197000.0,217200.0,false
WindTurbine,1.4e11,5.41e7,464000.0,184800.0,false
SpaceProbe,1.8e11,2.0922e8,825800.0,756000.0,false
NuclearReactor,1.0e12,7.006000077486038e8,1.637e6,240000.0,false
Collider,2.0e12,3.559760003814697e10,4.816e6,23100.0,false
GravityChamber,1.5e13,1.2853000077486038e9,4.991e6,5.1603e6,false
Robot,5.0e13,9.527640037193298e10,3.042e7,7.208e6,false
FusionCapsule,2.4e14,2.8367920013589856e11,2.5684e7,2.1747e7,false
Teleporter,1.7999999523162842e15,3.835300007748604e9,1.5241e7,3.36443e7,false
FusionReactor,4.0e16,1.7426132020492078e12,3.00174e8,3.4702e7,false
SubspaceRelay,1.0e18,3.3720700007748604e10,1.11387e8,8.83966e7,false
AdvancedRobot,2.95e19,1.8240706047439336e13,4.54287e9,8.943723e8,false
AdvancedTeleporter,6.5e20,4.99138935046283e13,2.217935e9,3.8065282e9,false
QuantumCPU,1.4e22,1.4974962430944347e14,1.829754e10,3.5776092e9,false
DeflectorShield,3.2e23,4.000872540185132e14,8.945396e9,1.52262378e10,false
WarpCore,6.800000190734863,6.687116813197422e14,8.527136e10,1.57282648e10,false
DeepSpaceScanner,145.0,8.818218053373209e15,3.7060064e10,6.09100892e10,false
AntimatterCell,3.200000047683716,2.674926555279356e15,3.4119609e11,6.29252532e10,false
AtmosphericProcessor,68.0,3.751913497813473e16,4.22751356e11,2.973044948e11,true
OrbitalDock,2.799999952316284,2.876767604900601e16,2.22163232e12,4.089836608e11,true
SolarCollector,2.799999952316284,1.1720065298006339e18,5.070850868e12,8.3446787304e12,true
PhaseGate,452.0,9.605033748909553e17,8.14557372e12,1.03065207808e13,true
NeuralMatrix,452.0,1.1827063894297544e18,6.435719068e12,8.5963797432e12,true
